folder,file1,file2,label,dataset,tfidf_similarity,astcc_similarity,tfidf_prediction,astcc_prediction,tfidf_correct,astcc_correct,both_correct,both_wrong
c57a973e_fa484fdd,c57a973e.java,fa484fdd.java,1,conplag,0.5858163296773115,0.4431818181818182,1,0,True,False,False,False
44428e63_c850e422,44428e63.java,c850e422.java,0,conplag,0.3008492750309662,0.3067961165048544,0,0,True,True,True,False
2ff0355e_83935617,2ff0355e.java,83935617.java,0,conplag,0.41010719335422646,0.3425414364640884,0,0,True,True,True,False
0017d438_9852706b,0017d438.java,9852706b.java,1,conplag,0.530156360463615,0.4316546762589928,1,0,True,False,False,False
bdfe8110_c57a973e,bdfe8110.java,c57a973e.java,1,conplag,0.8224954879505062,0.4871060171919771,1,1,True,True,True,False
c06_orig_L5v02,original.java,compared.java,1,ir_plag,0.6262337033437798,0.5,1,1,True,True,True,False
c05_orig_L5v04,original.java,compared.java,1,ir_plag,0.7430511450328766,0.42105263157894735,1,0,True,False,False,False
5647d16e_ea09d197,5647d16e.java,ea09d197.java,0,conplag,0.4685932881307707,0.3426294820717131,1,0,False,True,False,False
c07_orig_L1v06,original.java,compared.java,1,ir_plag,0.9793516897124745,0.47953216374269003,1,1,True,True,True,False
5af25bd7_77ec956f,5af25bd7.java,77ec956f.java,1,conplag,0.7116514334071329,0.5570032573289903,1,1,True,True,True,False
5756162d_808f7516,5756162d.java,808f7516.java,0,conplag,0.32556024734248,0.45347786811201446,0,1,True,False,False,False
c04_orig_np06,original.java,compared.java,0,ir_plag,0.30800008082248403,0.2535211267605634,0,0,True,True,True,False
c02_orig_L4v03,original.java,compared.java,1,ir_plag,0.6230435513687285,0.3300970873786408,1,0,True,False,False,False
6bcc5afd_f6ca6fc8,6bcc5afd.java,f6ca6fc8.java,1,conplag,0.6949821816162383,0.5105105105105106,1,1,True,True,True,False
c1fef98f_fadc1365,c1fef98f.java,fadc1365.java,0,conplag,0.5095917027768244,0.3039647577092511,1,0,False,True,False,False
0ea5a836_732c98a0,0ea5a836.java,732c98a0.java,0,conplag,0.6128122762887569,0.37117117117117115,1,0,False,True,False,False
